obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
1.23768E+18,340.9951205,20.58947628,23.48827,23.33776,21.32195,20.25615,19.54544,8102,301,3,110,5.65898E+18,QSO,1.424659,5026,55855,741
1.23768E+18,23.23492643,11.41818762,21.46973,21.17624,20.92829,20.60826,20.42573,7773,301,2,462,1.25E+19,QSO,0.5864546,11069,58456,113
1.23767E+18,39.1496906,28.10284161,21.74669,20.03493,19.17553,18.81823,18.65422,5934,301,4,122,2.75176E+18,STAR,-7.90E-06,2444,54082,232
1.23768E+18,345.8018744,32.67286785,23.17274,20.14496,19.41948,19.22034,18.89359,8157,301,2,38,7.32301E+18,STAR,7.18E-05,6504,56540,574
1.23768E+18,353.2015224,3.080795936,24.5489,21.44267,20.95315,20.7936,20.48442,7712,301,5,284,4.82228E+18,STAR,-0.000428576,4283,55864,178
1.23768E+18,1.494388639,3.29174633,20.38562,20.40514,20.29996,20.05918,19.89044,7712,301,5,339,9.84382E+18,QSO,2.031528,8743,57663,295
1.23768E+18,14.38313522,3.214326196,21.82154,20.5573,19.94918,19.76057,19.55514,7712,301,5,425,9.85507E+18,STAR,-0.000440276,8753,57373,258
1.23766E+18,144.7852927,46.82649568,24.54793,22.33601,20.92259,19.87177,19.16934,2821,301,2,28,8.23729E+18,STAR,-0.000120359,7316,56710,756
1.23766E+18,145.8830055,47.30048358,21.73992,21.53095,21.26763,21.36257,21.15861,2821,301,2,33,8.22824E+18,QSO,2.07568,7308,56709,596
1.23768E+18,20.05255573,11.49788077,21.89214,21.35124,21.18755,20.843,20.7658,7773,301,2,441,1.24683E+19,QSO,1.528308,11074,58488,306
1.23766E+18,136.4183782,36.15267852,20.66654,22.21825,24.8026,21.43702,22.82647,3530,301,4,138,1.15E+19,STAR,0.000308486,10241,58157,799
1.23766E+18,181.6453305,42.27399522,21.20149,19.77107,19.27176,19.04226,18.9441,3893,301,3,158,9.43755E+18,STAR,4.83E-05,8382,57513,919
1.23767E+18,344.7698884,26.92854864,22.33744,20.02736,19.2826,19.04074,18.90521,6366,301,4,69,8.67628E+18,STAR,-9.96E-05,7706,57575,344
1.23767E+18,228.4477283,12.74503193,22.36261,21.7106,21.5963,21.60179,21.12727,5322,301,3,125,6.17903E+18,QSO,2.689002,5488,56013,320
1.23768E+18,345.221147,2.593461754,21.90143,21.79169,21.44344,21.25545,21.07686,7712,301,4,231,1.27261E+19,QSO,1.289637,11303,58428,340
1.23767E+18,168.7266013,27.6809253,21.65936,21.73216,21.61713,21.60229,21.24192,5112,301,6,385,1.28E+19,QSO,1.007728,11357,58522,220
1.23766E+18,178.5046159,54.3791571,21.77434,21.65529,21.77547,21.72382,21.66425,2821,301,2,177,9.26409E+18,QSO,1.93908,8228,57423,667
1.23766E+18,144.742439,46.96719089,20.87676,20.61914,20.55744,20.54716,20.15146,2821,301,2,28,8.23729E+18,QSO,1.040196,7316,56710,745
1.23768E+18,11.0594434,11.93530448,20.53318,20.37871,20.16658,20.12587,20.13796,7773,301,2,382,1.24323E+19,QSO,0.910454,11042,58462,324
1.23768E+18,12.22289416,11.86715114,22.864,20.99637,20.77479,20.60149,20.42078,7773,301,2,390,6.98645E+18,STAR,-0.000596928,6205,56187,882
